,produk,umur,domisili,gender,status_perkawinan,profesi,tujuan,penghasilan,persentasi_tabungan,rate_fungsionalitas,rate_admin,rate_limit,rate_bunga,rate_setoran_awal,rate_kebutuhan,alasan_lainnya
110,Tabungan Regular,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,5-10%,2.0,3.0,4.0,3.0,1.0,3.0,tidak ada
111,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,5-10%,4.0,3.0,4.0,3.0,1.0,4.0,tidak ada
112,Tabungan Regular,> 55 tahun,Non Jabodetabek,Laki-laki,Kawin,Lainnya,Investasi,> 20 juta,5-10%,4.0,4.0,4.0,1.0,1.0,4.0,Layanan bagus
113,Tabungan Online,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Lainnya",< 1 juta,5-10%,4.0,3.0,4.0,2.0,1.0,4.0,Tidak ada
114,Tabungan Anak Muda,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,4.0,4.0,4.0,1.0,3.0,tidak
115,Tabungan Berjangka,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Simpanan jangka panjang,1-5 juta,5-10%,4.0,1.0,4.0,4.0,1.0,4.0,Tidak ada
116,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,4.0,3.0,4.0,3.0,1.0,3.0,Tidak ada
117,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Investasi,15-20 juta,5-10%,4.0,3.0,3.0,3.0,1.0,4.0,Tdk ads
118,Tabungan Medium,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Pelajar,Kegiatan sehari-hari,1-5 juta,0%,3.0,3.0,3.0,3.0,1.0,3.0,Warna kartu
119,Tabungan Regular,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",> 20 juta,10-20%,3.0,3.0,3.0,2.0,2.0,3.0,"kemudahan bertransaksi, CS yang baik, dukungan aplikasi yang bagus"
120,Tabungan Regular,30-55 tahun,Non Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,5-10%,3.0,3.0,3.0,3.0,3.0,3.0,Tidak ada
121,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,10-20%,4.0,4.0,3.0,4.0,3.0,4.0,produknya paling kren
122,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,2.0,3.0,3.0,4.0,1.0,3.0,Tidak ada
123,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,2.0,3.0,4.0,1.0,4.0,Tidak ada
124,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak ada.
125,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak ada
126,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,4.0,4.0,3.0,3.0,3.0,3.0,Kualitas bank
127,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,1-5%,4.0,3.0,4.0,4.0,1.0,4.0,Untuk investasi dan keperluan menabung yang lebih aman
128,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,3.0,2.0,4.0,1.0,1.0,4.0,Brand trust
129,Tabungan Anak Muda,12-17 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Pelajar,"Investasi, Kegiatan sehari-hari",< 1 juta,10-20%,4.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
130,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",> 20 juta,20-30%,4.0,2.0,3.0,3.0,3.0,3.0,merasa aman punya simpanan
131,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
132,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,1-5%,2.0,4.0,3.0,2.0,1.0,3.0,-
133,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,3.0,3.0,2.0,1.0,3.0,Tidak ada
134,Tabungan Premium,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,5-10%,4.0,4.0,4.0,2.0,2.0,3.0,Tidak ada
135,Tabungan Medium,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,> 30%,4.0,2.0,2.0,1.0,2.0,3.0,"Tawaran promo dari merchant” terkait jenis account yang saya buka.

Tawaran dari telemarketing jika ada product terbaru sehingga saya lebih banyak mempunyai pilihan dalam mengambil keputusan membeli produk investasi/asuransi"
136,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,0%,3.0,3.0,4.0,2.0,1.0,4.0,"Kartu debit nya sangat cantik, saya sangat suka dengan desain nya "
137,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Lainnya,5-10 juta,10-20%,3.0,3.0,3.0,3.0,1.0,3.0,Sudah mencukupi kebutuhan sehari-hari 
138,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,5-10%,3.0,2.0,1.0,3.0,1.0,3.0,Tidak ada
139,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,3.0,4.0,3.0,1.0,4.0,Tidak ada
140,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,1.0,3.0,3.0,3.0,3.0,Tidak ada
141,Tabungan Online,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Investasi,1-5 juta,5-10%,3.0,3.0,3.0,1.0,1.0,3.0,Tidak ada
142,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,20-30%,4.0,2.0,3.0,3.0,2.0,3.0,banknya terpercaya
143,Tabungan Regular,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,15-20 juta,1-5%,4.0,4.0,4.0,3.0,1.0,4.0,kemudahan transaksi dan kelengkapan history transaksi
144,Tabungan Medium,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,3.0,4.0,2.0,1.0,4.0,sudah terjamin reputasi bank dan sudah sesuai keperluan
145,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,> 30%,4.0,3.0,2.0,3.0,1.0,4.0,Untuk keperluan penerimaan penghasilan
146,TabunganKu,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,3.0,3.0,3.0,2.0,4.0,Merasa lebih aman aja untuk menabung
147,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",5-10 juta,20-30%,2.0,3.0,3.0,1.0,4.0,3.0,Tidak
148,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,5-10%,4.0,4.0,4.0,3.0,1.0,3.0,Tidak ada.
149,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,1-5%,4.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
150,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Lainnya,1-5 juta,5-10%,3.0,4.0,4.0,3.0,2.0,4.0,karena banyak orang yang sudah memakai nya jadi bisa sedikit dipercaya 
151,Tabungan Anak Muda,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
152,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,4.0,3.0,2.0,1.0,3.0,-
153,Tabungan Online,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Pengusaha,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,3.0,3.0,3.0,3.0,3.0,3.0,Sebagai dana darurat & dana pensiun di hari tua
154,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
155,Tabungan Regular,30-55 tahun,Non Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,20-30%,4.0,3.0,4.0,2.0,1.0,4.0,Fasilitas untuk rek spt eChannel dan digital bisa digunakan
156,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,10-20%,3.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
157,TabunganKu,21-30 tahun,Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,> 30%,4.0,3.0,4.0,1.0,3.0,3.0,Tidak ada
158,Tabungan Regular,30-55 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Kebutuhan pembayaran upah kantor
159,Tabungan Medium,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,> 30%,3.0,4.0,4.0,3.0,3.0,2.0,Sudah terpercaya
160,TabunganKu,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,1-5%,3.0,4.0,3.0,4.0,1.0,4.0,Tabunganku gada potongan adminnya
161,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,1-5 juta,5-10%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
162,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,5-10%,4.0,3.0,3.0,3.0,2.0,3.0,Tidak ada
163,Tabungan Regular,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,< 1 juta,1-5%,3.0,4.0,4.0,3.0,2.0,4.0,karena mudah ditemukan dimanapun
164,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,5-10%,3.0,2.0,3.0,2.0,3.0,3.0,Tidak ada
165,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Kegiatan sehari-hari, Lainnya",5-10 juta,10-20%,3.0,3.0,4.0,3.0,1.0,3.0,Tampilan UI yang menarik dan mudah dipahami
166,Tabungan Berjangka,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,10-15 juta,20-30%,4.0,3.0,3.0,2.0,1.0,3.0,tidak ada
167,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",10-15 juta,20-30%,2.0,2.0,3.0,3.0,2.0,3.0,Tidak ada
168,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,10-20%,4.0,2.0,4.0,2.0,3.0,3.0,Kemudahan mengakses nya melalui mbanking dan fitur aplikasi yang mudah digunakan
169,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,3.0,2.0,4.0,4.0,1.0,3.0,"Saya memisahkan tabungan ke dalam beberapa produk simpanan sesuai dengan scopenya masing-masing. Ada yang sengaja disimpan sebagai tabungan deposito, ada juga yang digunakan untuk kebutuhan sehari-hari"
170,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,2.0,4.0,4.0,3.0,1.0,3.0,administrasi mudah secara online dan tidak perlu menyimpan buku tabungan
171,Tabungan Online,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,> 30%,3.0,2.0,3.0,1.0,2.0,3.0,Tidak ada
172,Tabungan Online,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,4.0,3.0,4.0,2.0,1.0,4.0,lebih efisien
173,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,3.0,3.0,2.0,1.0,3.0,Alasan lainnya seperti proses pembuatan akun yang tergolong mudah dan biaya pembuatan kartu yang lebih murah dibandingkan beberapa produk simpanan individu yang lain.
174,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,4.0,4.0,1.0,1.0,4.0,Tidak ada
175,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,20-30%,4.0,3.0,4.0,1.0,1.0,3.0,Tidak ada
176,Tabungan Anak Muda,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,3.0,3.0,2.0,3.0,2.0,3.0,Tidak ada
177,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,10-20%,4.0,4.0,4.0,2.0,1.0,4.0,"Reliable, pelayanan gercep"
178,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,5-10%,3.0,3.0,4.0,2.0,2.0,3.0,Tidak ada
179,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",1-5 juta,> 30%,3.0,2.0,4.0,1.0,1.0,3.0,Tidak ada
180,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,2.0,3.0,2.0,1.0,4.0,Prosesnya cepat
181,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak ada
182,Tabungan Medium,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",< 1 juta,10-20%,3.0,2.0,3.0,1.0,2.0,3.0,Karena ortu juga pake jdi bebas biaya admin
183,Tabungan Regular,17-21 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",10-15 juta,1-5%,4.0,4.0,4.0,3.0,1.0,3.0,cara mengisi tabungan yang mudah
184,Tabungan Regular,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,10-20%,4.0,2.0,2.0,1.0,2.0,3.0,Admin tinggi. Tp bisa apa aja. Flexible. Mudah. Ga ribet. Dan aman si. Yg penting tabungan m banking or mobil bangking itu aman nya nomer 1. Kalo ga aman bahaya. Jd jaga sequritynya
185,Tabungan Regular,30-55 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Kegiatan sehari-hari, Lainnya",10-15 juta,10-20%,4.0,3.0,2.0,1.0,1.0,3.0,layanan terpercaya
186,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,3.0,2.0,3.0,2.0,3.0,3.0,-
187,Tabungan Online,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak
188,Tabungan Premium,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,15-20 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,-
189,Tabungan Anak Muda,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,1-5%,4.0,2.0,4.0,2.0,1.0,4.0,mbanking
190,Tabungan Medium,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,> 30%,4.0,2.0,1.0,2.0,1.0,2.0,Kemudahan transaksi karena atm banyak. Penggunaan aplikasi mbanking yang mudah. Pelayanan CS yang memuaskan
191,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,10-20%,4.0,4.0,4.0,3.0,1.0,4.0,Terjamin keamanannya
192,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,5-10%,3.0,3.0,4.0,3.0,2.0,3.0,Tidak ada
193,Tabungan Berjangka,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,10-20%,3.0,3.0,4.0,2.0,1.0,4.0,Tidak ada
194,Tabungan Online,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,-
195,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,10-20%,4.0,4.0,4.0,4.0,1.0,4.0,Tidak ada
196,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Kegiatan sehari-hari",10-15 juta,5-10%,3.0,3.0,3.0,3.0,3.0,3.0,Tidak ada
197,Tabungan Berjangka,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Simpanan jangka panjang,5-10 juta,5-10%,3.0,3.0,3.0,3.0,2.0,4.0,Tidak ada
198,Tabungan Premium,30-55 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,> 20 juta,20-30%,4.0,4.0,4.0,2.0,1.0,4.0,Digunakan sebagai rekening untuk menerima gaji atau penghasilan
199,Tabungan Anak Muda,30-55 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Lainnya",> 20 juta,20-30%,3.0,2.0,4.0,4.0,1.0,4.0,"Tidak perlu mempunyai buku tabungan, simple dan mudah"
200,Tabungan Online,30-55 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",> 20 juta,20-30%,4.0,4.0,4.0,4.0,1.0,4.0,Simple dan mudah diakses di mana saja karena online
201,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,20-30%,4.0,4.0,4.0,3.0,1.0,3.0,Tidak ada
202,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,5-10%,3.0,2.0,3.0,2.0,2.0,2.0,Tidak ada
203,Tabungan Regular,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",10-15 juta,20-30%,4.0,4.0,4.0,3.0,1.0,4.0,Tidak ada
204,Tabungan Pelajar,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,5-10%,4.0,3.0,3.0,3.0,4.0,3.0,Tidak ada
205,Tabungan Regular,30-55 tahun,Jabodetabek,Perempuan,Kawin,Karyawan Swasta,Kegiatan sehari-hari,15-20 juta,20-30%,3.0,2.0,3.0,2.0,3.0,3.0,Easy to use
206,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,1-5%,4.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
207,Tabungan Anak Muda,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",1-5 juta,10-20%,3.0,3.0,3.0,3.0,2.0,3.0,praktis
208,Tabungan Medium,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,10-15 juta,20-30%,4.0,4.0,4.0,2.0,1.0,4.0,Tidak ada
209,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,Simpanan jangka panjang,1-5 juta,20-30%,4.0,4.0,4.0,4.0,4.0,4.0,tidak ada
210,Tabungan Regular,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,4.0,3.0,2.0,4.0,"Izin menyarankan faktor yang bisa dipertimbangkan atas produk simpanan individu adalah biaya transfer ke sesama bank/bank lain dan top up e-wallet.

Alasan penggunaan produk simpanan karena tuntutan zaman digital atas kemudahan pembayaran secara digital."
211,Tabungan Online,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,"Investasi, Kegiatan sehari-hari",5-10 juta,> 30%,4.0,4.0,3.0,4.0,2.0,4.0,Tidak ada
212,Tabungan Online,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,3.0,3.0,3.0,2.0,1.0,3.0,lebih terpercaya
213,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,20-30%,3.0,3.0,3.0,2.0,2.0,3.0,tidak perlu buku tabungan sehingga simpel
214,Tabungan Regular,21-30 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,5-10%,4.0,3.0,4.0,4.0,1.0,4.0,Tidak ada
215,Tabungan Online,21-30 tahun,Jabodetabek,Laki-laki,Belum Kawin,Karyawan Swasta,"Investasi, Simpanan jangka panjang",5-10 juta,> 30%,4.0,2.0,4.0,4.0,2.0,3.0,Promo dan bunga yang banyak
216,Tabungan Premium,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,3.0,3.0,3.0,2.0,1.0,3.0,Tidak ada
217,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,5-10 juta,10-20%,3.0,2.0,1.0,2.0,1.0,3.0,Tidak ada
218,Tabungan Valas,17-21 tahun,Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang",5-10 juta,> 30%,4.0,4.0,4.0,3.0,1.0,4.0,Investasi
219,Tabungan Regular,17-21 tahun,Non Jabodetabek,Laki-laki,Belum Kawin,Mahasiswa,"Investasi, Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,4.0,2.0,3.0,2.0,1.0,3.0,Tidak ada
220,Tabungan Regular,21-30 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,20-30%,3.0,3.0,4.0,3.0,1.0,4.0,Produk tersebut dapat digunakan dengan fleksibel dimana saja dan kapan saja sehingga sangat membantu kegiatan transaksi sehari-hari 
221,Tabungan Online,21-30 tahun,Non Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,Kegiatan sehari-hari,5-10 juta,> 30%,4.0,4.0,4.0,4.0,4.0,4.0,Tidak ada
222,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Karyawan Swasta,"Simpanan jangka panjang, Kegiatan sehari-hari",5-10 juta,10-20%,4.0,4.0,4.0,3.0,1.0,4.0,Umum digunakan oleh banyak orang.
223,Tabungan Regular,17-21 tahun,Jabodetabek,Perempuan,Belum Kawin,Mahasiswa,Kegiatan sehari-hari,1-5 juta,> 30%,4.0,3.0,4.0,3.0,2.0,4.0,Tidak ada
